service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
292.0.19,0,0,0,0,0,0,0,20231126,20240413
292.0.2,0,0,0,0,0,1,0,20231126,20240413
292.0.20,0,0,0,0,0,0,0,20231126,20240413
292.0.3,0,0,0,0,0,0,1,20231126,20240413
292.0.4,1,1,1,1,1,0,0,20231126,20240413
292.127.2,0,0,0,0,0,0,0,20231126,20240413
292.2.2,0,0,0,0,0,0,0,20231126,20240413
292.2863.2,0,0,0,0,0,0,0,20231126,20240413
292.2863.3,0,0,0,0,0,0,0,20231126,20240413
292.1562.4,0,0,0,0,0,0,0,20231126,20240413
292.713.4,0,0,0,0,0,0,0,20231126,20240413
292.1.4,0,0,0,0,0,0,0,20231126,20240413
292.463.4,0,0,0,0,0,0,0,20231126,20240413
292.2863.4,0,0,0,0,0,0,0,20231126,20240413
292.655.4,0,0,0,0,0,0,0,20231126,20240413
292.2863.19,0,0,0,0,0,0,0,20231126,20240413
292.2863.20,0,0,0,0,0,0,0,20231126,20240413
