service_id,date,exception_type
292.133.4,20231127,1
292.133.4,20231128,1
292.133.4,20231129,1
292.133.4,20231130,1
292.133.4,20231201,1
292.2769.4,20231201,1
292.133.4,20231204,1
292.133.4,20231205,1
292.133.4,20231206,1
292.133.4,20231207,1
292.133.4,20231208,1
292.2769.4,20231208,1
292.1900.2,20231209,1
292.1948.3,20231210,1
292.133.4,20231211,1
292.1899.4,20231211,1
292.133.4,20231212,1
292.1899.4,20231212,1
292.133.4,20231213,1
292.1899.4,20231213,1
292.133.4,20231214,1
292.1899.4,20231214,1
292.133.4,20231215,1
292.1899.4,20231215,1
292.2769.4,20231215,1
292.1900.2,20231216,1
292.1948.3,20231217,1
292.1899.4,20231218,1
292.1899.4,20231219,1
292.1936.4,20231220,1
292.1936.4,20231221,1
292.1936.4,20231222,1
292.2769.4,20231222,1
292.1900.2,20231223,1
292.2473.2,20231223,1
292.1901.3,20231224,1
292.0.19,20231225,1
292.0.4,20231225,2
292.1029.4,20231226,1
292.1936.4,20231226,1
292.1029.4,20231227,1
292.1365.4,20231227,1
292.1936.4,20231227,1
292.1029.4,20231228,1
292.1936.4,20231228,1
292.1029.4,20231229,1
292.1365.4,20231229,1
292.1936.4,20231229,1
292.2769.4,20231229,1
292.1900.2,20231230,1
292.2473.2,20231230,1
292.1901.3,20231231,1
292.0.20,20240101,1
292.0.4,20240101,2
292.1029.4,20240102,1
292.1936.4,20240102,1
292.1029.4,20240103,1
292.1365.4,20240103,1
292.1899.4,20240103,1
292.1029.4,20240104,1
292.1899.4,20240104,1
292.1029.4,20240105,1
292.1365.4,20240105,1
292.1899.4,20240105,1
292.2769.4,20240105,1
292.1900.2,20240106,1
292.2473.2,20240106,1
292.1948.3,20240107,1
292.133.4,20240108,1
292.1029.4,20240108,1
292.1365.4,20240108,1
292.1899.4,20240108,1
292.133.4,20240109,1
292.1029.4,20240109,1
292.1899.4,20240109,1
292.133.4,20240110,1
292.1029.4,20240110,1
292.1365.4,20240110,1
292.1899.4,20240110,1
292.133.4,20240111,1
292.1029.4,20240111,1
292.1899.4,20240111,1
292.133.4,20240112,1
292.1029.4,20240112,1
292.1365.4,20240112,1
292.1899.4,20240112,1
292.2769.4,20240112,1
292.1900.2,20240113,1
292.2473.2,20240113,1
292.1901.3,20240114,1
292.0.14,20240115,1
292.0.4,20240115,2
292.133.4,20240116,1
292.1029.4,20240116,1
292.1936.4,20240116,1
292.133.4,20240117,1
292.1029.4,20240117,1
292.1365.4,20240117,1
292.1899.4,20240117,1
292.133.4,20240118,1
292.1029.4,20240118,1
292.1899.4,20240118,1
292.133.4,20240119,1
